CASERNE,NO_CIVIQUE,RUE,LATITUDE,LONGITUDE,ARRONDISSEMENT,VILLE,DATE_DEBUT,DATE_FIN,MTM8_X,MTM8_Y
3,256,rue  Young,45.49345438,-73.560172,LE SUD-OUEST,,2015-01-01T07:00:00,,300097,5039283
15,1255,rue de la Sucrerie,45.48441948,-73.56091713,LE SUD-OUEST,,2015-01-01T07:00:00,,300038,5038279
23,523,place Saint-Henri,45.47792502,-73.58525109,LE SUD-OUEST,,2015-01-01T07:00:00,,298135,5037559
33,6040,boulevard Monk,45.45784137,-73.59544993,LE SUD-OUEST,,2015-01-01T07:00:00,,297335,5035328
9,8100,boulevard Saint-Michel,45.56374847,-73.61016886,VILLERAY-SAINT-MICHEL-PARC-EXTENSION,,2019-05-06T07:00:00,,296200,5047099
37,795,rue Jarry Est,45.54637349,-73.62675756,VILLERAY-SAINT-MICHEL-PARC-EXTENSION,,2015-01-01T07:00:00,,294902,5045170
41,7405,avenue Champagneur,45.52763027,-73.62638262,VILLERAY-SAINT-MICHEL-PARC-EXTENSION,,2019-05-06T07:00:00,,294928,5043087
14,8216,boulevard Maurice-Duplessis,45.63360235,-73.58622282,RIVIERE-DES-PRAIRIES-POINTE-AUX-TREMBLES,,2015-01-01T07:00:00,,298077.6,5054859.7
38,14201,rue Sherbrooke Est,45.6722214,-73.50512113,RIVIERE-DES-PRAIRIES-POINTE-AUX-TREMBLES,,2015-01-01T07:00:00,,304401,5059148
44,12145,boulevard Riviere-des-Prairies,45.65265114,-73.56293404,RIVIERE-DES-PRAIRIES-POINTE-AUX-TREMBLES,,2015-01-01T07:00:00,,299895,5056975
32,16101,rue Sherbrooke Est,45.69705219,-73.49236718,RIVIERE-DES-PRAIRIES-POINTE-AUX-TREMBLES,,2015-01-01T07:00:00,,305394.4,5061907.6
4,5260,rue Van Horne,45.48998994,-73.64163794,COTE-DES-NEIGES-NOTRE-DAME-DE-GRACE,,2019-05-06T07:00:00,,293729,5038906
27,5353,rue Gatineau,45.49739147,-73.62195174,COTE-DES-NEIGES-NOTRE-DAME-DE-GRACE,,2019-05-06T07:00:00,,295269,5039726
34,5369,chemin de la Cote-Saint-Antoine,45.47545214,-73.61425587,COTE-DES-NEIGES-NOTRE-DAME-DE-GRACE,,2019-05-06T07:00:00,,295867,5037287
46,4760,avenue Cumberland,45.4670027,-73.63852389,COTE-DES-NEIGES-NOTRE-DAME-DE-GRACE,,2015-01-01T07:00:00,,293968,5036351
17,4240,rue de Charleroi,45.59341352,-73.63728375,MONTREAL-NORD,,2015-01-01T07:00:00,,294089,5050399
18,12012,boulevard Rolland,45.61661101,-73.62150467,MONTREAL-NORD,,2015-01-01T07:00:00,,295324,5052975
16,1041,rue Rachel Est,45.52581296,-73.57490287,LE PLATEAU-MONT-ROYAL,,2019-05-06T07:00:00,,298949,5042880
26,2151,avenue Mont-Royal Est,45.53602803,-73.57193301,LE PLATEAU-MONT-ROYAL,,2015-01-01T07:00:00,,299182,5044015
30,5,rue Laurier Ouest,45.52296496,-73.59324299,LE PLATEAU-MONT-ROYAL,,2015-01-01T07:00:00,,297516,5042565
21,6025,boulevard Lavoisier,45.59720428,-73.60027477,SAINT-LEONARD,,2015-01-01T07:00:00,,296977,5050816
22,5455,rue Antonio-Dagenais,45.58286372,-73.58597367,SAINT-LEONARD,,2015-01-01T07:00:00,,298091,5049221
28,7650,boulevard Chateauneuf,45.60283913,-73.55872487,ANJOU,,2015-01-01T07:00:00,,300219,5051439
29,5375,1iere Avenue,45.5453476,-73.57617101,ROSEMONT-LA PETITE-PATRIE,,2015-01-01T07:00:00,,298852,5045051
